,Province_State,Lat,Long_,date,confirmed,Population,deaths,Incidence_Rate,Mortality_Rate
134,Idaho,1947.5896553700004,-5036.245496399999,1/24/20,0,1787065.0,0,0.0,
135,Illinois,4064.04900553,-9096.1896671,1/24/20,1,12671821.0,0,0.007891525614195465,0.0
136,Indiana,3665.036491239999,-7932.1082973199955,1/24/20,0,6732219.0,0,0.0,
137,Iowa,4160.9610923300015,-9253.08642292,1/24/20,0,3155070.0,0,0.0,
138,Kansas,4040.9647841699993,-10298.87791087,1/24/20,0,2913314.0,0,0.0,
139,Kentucky,4514.657262000001,-10223.986874159998,1/24/20,0,4467673.0,0,0.0,
140,Louisiana,1989.9153525399995,-5876.747945990001,1/24/20,0,4648794.0,0,0.0,
141,Maine,715.0030145,-1112.38029805,1/24/20,0,1344212.0,0,0.0,
142,Maryland,936.35809657,-1840.2112226099998,1/24/20,0,6045680.0,0,0.0,
143,Massachusetts,630.9941489099999,-1071.27703141,1/24/20,0,6892503.0,0,0.0,
144,Michigan,3655.6204674499986,-7070.080729440003,1/24/20,0,9986857.0,0,0.0,
145,Minnesota,3963.0251292199996,-8215.492913339998,1/24/20,0,5639632.0,0,0.0,
146,Mississippi,2689.00357846,-7350.949515640001,1/24/20,0,2976149.0,0,0.0,
147,Missouri,4460.9847262700005,-10729.940478620003,1/24/20,0,6626371.0,0,0.0,
148,Montana,2630.5827033899996,-6143.222113400001,1/24/20,0,1068778.0,0,0.0,
149,Nebraska,3842.9269300899973,-9210.62813682,1/24/20,0,1934408.0,0,0.0,
150,Nevada,667.3519446600001,-1998.5878900999996,1/24/20,0,3080156.0,0,0.0,
151,New Hampshire,434.78972876,-715.77656705,1/24/20,0,1359711.0,0,0.0,
152,New Jersey,846.0152591300001,-1567.07144401,1/24/20,0,8882190.0,0,0.0,
153,New Mexico,1140.1288462999999,-3494.2745445,1/24/20,0,2096829.0,0,0.0,
154,New York,2637.7373826599996,-4679.39936508,1/24/20,0,26161672.0,0,0.0,
155,North Carolina,3562.420971000001,-7950.109873960003,1/24/20,0,10488084.0,0,0.0,
156,North Dakota,2511.8558565800004,-5313.217852090001,1/24/20,0,762062.0,0,0.0,
157,Northern Mariana Islands,15.0979,145.6739,1/24/20,0,55144.0,0,0.0,
158,Ohio,3547.3389435400018,-7289.51590458,1/24/20,0,11689100.0,0,0.0,
159,Oklahoma,2733.6474108,-7488.35776672,1/24/20,0,3956971.0,0,0.0,
160,Oregon,1601.7264242899996,-4373.1691055,1/24/20,0,4217737.0,0,0.0,
161,Pennsylvania,2734.8112497699994,-5200.22629518,1/24/20,0,12801989.0,0,0.0,
162,Puerto Rico,1422.70343,-5179.780198999999,1/24/20,0,3754939.0,0,0.0,
163,Rhode Island,208.27571053,-357.32052549,1/24/20,0,1059361.0,0,0.0,
164,South Carolina,1562.0437180300005,-3725.2363858399995,1/24/20,0,5148714.0,0,0.0,
165,South Dakota,2921.9978651999995,-6554.50198811,1/24/20,0,884659.0,0,0.0,
166,Tennessee,3409.0847101599993,-8180.328683919998,1/24/20,0,6829174.0,0,0.0,
167,Texas,8041.803434339999,-25057.879425249983,1/24/20,0,28995881.0,0,0.0,
168,Utah,1388.55098628,-3904.519943400001,1/24/20,0,3205958.0,0,0.0,
169,Vermont,618.2329411800001,-1017.58132988,1/24/20,0,623989.0,0,0.0,
170,Virgin Islands,18.3358,-64.8963,1/24/20,0,107268.0,0,0.0,
171,Virginia,4996.297993259999,-10442.323660759994,1/24/20,0,8535519.0,0,0.0,
172,Washington,1842.11767038,-4708.049596200001,1/24/20,1,7614893.0,0,0.013132160885254724,0.0
